id,name,brand,flavor,nicotine,pack_size,price,e-shop,stock,url,date
dope---nikotinove-sacky-mango-16,DOPE ICE MANGO XTRA STRONG  16 mg/g,DOPE - Nikotinové sáčky,Mango,16,,110,,True,https://www.nordiction.cz/dope/dope-ice-mango-xtra-strong/,22/03/2025
dope---nikotinove-sacky-meloun-16,DOPE MELON STRONG EDITION  16 mg/g,DOPE - Nikotinové sáčky,Meloun,16,,110,,True,https://www.nordiction.cz/dope/dope-melon-strong-edition/,22/03/2025
zyn---nikotinove-sacky-mentol-13,"ZYN COOL MINT STRONG  13,5 mg/g",ZYN - Nikotinové sáčky,Mentol,13,,150,,True,https://www.nordiction.cz/zyn/zyn-cool-mint-strong/,22/03/2025
bagz---nikotinove-sacky-ovocny-mix-8,BAGZ FRUIT PUNCH CLASSIC  8 mg/g,BAGZ - Nikotinové sáčky,Ovocný mix,8,,119,,True,https://www.nordiction.cz/bagz-nikotinove-sacky/bagz-fruit-punch-classic/,22/03/2025
bagz---nikotinove-sacky-ovocny-mix-4,BAGZ FRUIT PUNCH MILD  4 mg/g,BAGZ - Nikotinové sáčky,Ovocný mix,4,,119,,True,https://www.nordiction.cz/bagz-nikotinove-sacky/bagz-fruit-punch-mild/,22/03/2025
bagz---nikotinove-sacky-limetka-8,BAGZ MOJITO LIME CLASSIC  8 mg/g,BAGZ - Nikotinové sáčky,Limetka,8,,119,,True,https://www.nordiction.cz/bagz-nikotinove-sacky/bagz-mojito-lime-classic/,22/03/2025
bagz---nikotinove-sacky-mata-16,BAGZ POWER MINT STRONG  16 mg/g,BAGZ - Nikotinové sáčky,Máta,16,,119,,True,https://www.nordiction.cz/bagz-nikotinove-sacky/bagz-power-mint-strong/,22/03/2025
dope---nikotinove-sacky-mentol-16,DOPE FREEZE STRONG EDITION  16 mg/g,DOPE - Nikotinové sáčky,Mentol,16,,110,,True,https://www.nordiction.cz/dope/dope-freeze-strong-edition/,22/03/2025
dope---nikotinove-sacky-mentol-16,DOPE ICE COOL XTRA STRONG  16 mg/g,DOPE - Nikotinové sáčky,Mentol,16,,110,,True,https://www.nordiction.cz/dope/dope-ice-cool-xtra-strong/,22/03/2025
dope---nikotinove-sacky-mango-16,DOPE ICE MANGO XTRA STRONG  16 mg/g,DOPE - Nikotinové sáčky,Mango,16,,110,,True,https://www.nordiction.cz/dope/dope-ice-mango-xtra-strong/,22/03/2025
dope---nikotinove-sacky-limetka-16,DOPE LIME SMASH STRONG  16 mg/g,DOPE - Nikotinové sáčky,Limetka,16,,110,,True,https://www.nordiction.cz/dope/dope-lime-smash-strong-edition/,22/03/2025
dope---nikotinove-sacky-meloun-16,DOPE MELON STRONG EDITION  16 mg/g,DOPE - Nikotinové sáčky,Meloun,16,,110,,True,https://www.nordiction.cz/dope/dope-melon-strong-edition/,22/03/2025
goat---nikotinove-sacky-boruvka-12,GOAT BLUEBERRY #12  12 mg/g,GOAT - Nikotinové sáčky,Borůvka,12,,120,,True,https://www.nordiction.cz/goat-nikotinove-sacky/goat-blueberry--12/,22/03/2025
goat---nikotinove-sacky-boruvka-16,"GOAT BLUEBERRY #16  16,4 mg/g",GOAT - Nikotinové sáčky,Borůvka,16,,120,,True,https://www.nordiction.cz/goat-nikotinove-sacky/goat-blueberry--16/,22/03/2025
goat---nikotinove-sacky-mata-16,"GOAT COOL MINT #16  16,4 mg/g",GOAT - Nikotinové sáčky,Máta,16,,120,,True,https://www.nordiction.cz/goat-nikotinove-sacky/goat-cool-mint--16/,22/03/2025
